Column 3| A:0	C:0	G:0	T:0	-:94	
Likelihood	Scale	Scale2
-20.359340	0.895157	1.000000
-20.359340	0.895158	1.000000
-20.359340	0.895159	1.000000
-20.359123	0.872455	1.000000
-20.359123	0.872456	1.000000
-20.359123	0.872457	1.000000
-20.359066	0.866532	1.000000
-20.359066	0.866533	1.000000
-20.359066	0.866534	1.000000
-20.359037	0.863547	1.000000
-20.359037	0.863548	1.000000
-20.359037	0.863549	1.000000
-20.358945	0.853948	1.000000
-20.358945	0.853949	1.000000
-20.358945	0.853950	1.000000
-20.358853	0.844350	1.000000
-20.358853	0.844351	1.000000
-20.358853	0.844352	1.000000
-20.358821	0.840986	1.000000
-20.358821	0.840987	1.000000
-20.358821	0.840988	1.000000
-20.358730	0.831508	1.000000
